t1,value,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
46.0,1397668.0,38.0,44.0,45.0,42.0,44.0,45.0,43.0,41.0,42.0,36.0
46.0,1351507.0,36.0,42.0,43.0,42.0,43.0,44.0,44.0,39.0,43.0,32.0
45.0,1315742.0,35.0,40.0,41.0,40.0,42.0,41.0,42.0,36.0,43.0,31.0
41.0,1308023.0,30.0,36.0,37.0,39.0,38.0,40.0,34.0,35.0,39.0,30.0
39.0,1344117.0,30.0,34.0,33.0,40.0,38.0,35.0,30.0,33.0,35.0,34.0
35.0,1373144.0,29.0,32.0,32.0,41.0,37.0,35.0,35.0,36.0,35.0,35.0
33.0,1441539.0,28.0,30.0,30.0,38.0,36.0,33.0,34.0,32.0,33.0,32.0
33.0,1498724.0,28.0,30.0,29.0,33.0,36.0,30.0,33.0,31.0,33.0,30.0
36.0,1560591.0,28.0,30.0,30.0,36.0,38.0,31.0,34.0,31.0,35.0,28.0
47.0,1568796.0,33.0,32.0,41.0,43.0,44.0,39.0,41.0,35.0,42.0,30.0
53.0,1544478.0,42.0,44.0,49.0,47.0,52.0,44.0,48.0,40.0,51.0,35.0
54.0,1495097.0,47.0,49.0,54.0,50.0,55.0,51.0,54.0,47.0,55.0,41.0
55.0,1430285.0,52.0,51.0,58.0,51.0,58.0,55.0,58.0,52.0,59.0,47.0
55.0,1349982.0,54.0,52.0,59.0,51.0,60.0,56.0,60.0,55.0,60.0,51.0
55.0,1287122.0,55.0,52.0,60.0,52.0,60.0,59.0,61.0,56.0,61.0,53.0
55.0,1274883.0,56.0,52.0,60.0,51.0,60.0,60.0,62.0,56.0,62.0,54.0
52.0,1353637.0,56.0,51.0,57.0,50.0,59.0,56.0,60.0,55.0,59.0,54.0
46.0,1575019.0,52.0,48.0,51.0,47.0,53.0,51.0,53.0,48.0,53.0,53.0
40.0,1636728.0,47.0,45.0,46.0,39.0,46.0,46.0,43.0,44.0,46.0,50.0
40.0,1635797.0,46.0,35.0,43.0,39.0,44.0,42.0,37.0,38.0,43.0,50.0
39.0,1611906.0,46.0,34.0,40.0,34.0,45.0,40.0,36.0,37.0,44.0,48.0
38.0,1549105.0,45.0,30.0,37.0,33.0,43.0,38.0,36.0,37.0,42.0,47.0
40.0,1481095.0,46.0,30.0,39.0,31.0,43.0,41.0,43.0,37.0,44.0,45.0
41.0,1373952.0,46.0,30.0,42.0,33.0,45.0,41.0,44.0,38.0,46.0,41.0
43.0,1301947.0,45.0,32.0,42.0,36.0,46.0,41.0,45.0,40.0,47.0,40.0
44.0,1269909.0,44.0,33.0,44.0,36.0,47.0,42.0,46.0,41.0,48.0,39.0
46.0,1252312.0,44.0,35.0,45.0,40.0,47.0,43.0,46.0,42.0,48.0,42.0
46.0,1257179.0,45.0,39.0,45.0,42.0,46.0,45.0,46.0,44.0,48.0,42.0
47.0,1290456.0,45.0,41.0,46.0,42.0,47.0,46.0,46.0,44.0,47.0,45.0
47.0,1361227.0,44.0,42.0,46.0,43.0,45.0,46.0,45.0,44.0,46.0,46.0
47.0,1464124.0,43.0,42.0,48.0,45.0,44.0,47.0,46.0,44.0,47.0,46.0
47.0,1572082.0,43.0,43.0,48.0,44.0,44.0,45.0,48.0,41.0,46.0,47.0
47.0,1633227.0,46.0,43.0,49.0,43.0,46.0,43.0,47.0,43.0,46.0,47.0
47.0,1681562.0,48.0,43.0,50.0,42.0,48.0,44.0,46.0,43.0,47.0,47.0
47.0,1677609.0,48.0,44.0,53.0,44.0,49.0,46.0,47.0,45.0,49.0,50.0
49.0,1636836.0,50.0,44.0,55.0,44.0,52.0,48.0,53.0,45.0,52.0,51.0
52.0,1572859.0,51.0,45.0,57.0,45.0,54.0,50.0,51.0,48.0,53.0,52.0
56.0,1505164.0,52.0,46.0,58.0,47.0,56.0,53.0,52.0,52.0,55.0,54.0
54.0,1443138.0,53.0,47.0,60.0,48.0,59.0,54.0,54.0,54.0,58.0,55.0
56.0,1401701.0,55.0,49.0,62.0,49.0,61.0,55.0,57.0,55.0,58.0,57.0
57.0,1447550.0,56.0,49.0,61.0,49.0,60.0,55.0,58.0,56.0,58.0,59.0
53.0,1627609.0,54.0,47.0,54.0,46.0,58.0,52.0,52.0,53.0,56.0,56.0
50.0,1685186.0,53.0,45.0,50.0,42.0,55.0,49.0,47.0,47.0,52.0,53.0
47.0,1670778.0,52.0,42.0,46.0,42.0,53.0,47.0,44.0,49.0,50.0,53.0
46.0,1637173.0,51.0,41.0,48.0,42.0,51.0,45.0,42.0,45.0,48.0,51.0
45.0,1571176.0,49.0,41.0,48.0,41.0,49.0,46.0,43.0,44.0,47.0,46.0
45.0,1501765.0,51.0,41.0,48.0,42.0,50.0,45.0,43.0,45.0,48.0,50.0
45.0,1382427.0,50.0,38.0,48.0,39.0,50.0,45.0,47.0,44.0,49.0,50.0
45.0,1303321.0,47.0,41.0,48.0,41.0,47.0,45.0,47.0,45.0,48.0,50.0
46.0,1245547.0,50.0,40.0,48.0,41.0,50.0,46.0,47.0,45.0,49.0,53.0
46.0,1227398.0,49.0,42.0,47.0,43.0,48.0,44.0,42.0,45.0,46.0,52.0
44.0,1213064.0,50.0,42.0,49.0,43.0,47.0,44.0,41.0,45.0,46.0,52.0
43.0,1236463.0,48.0,43.0,49.0,45.0,44.0,44.0,42.0,45.0,44.0,54.0
46.0,1266459.0,46.0,45.0,49.0,45.0,42.0,43.0,41.0,45.0,41.0,55.0
46.0,1340396.0,50.0,41.0,49.0,46.0,44.0,42.0,41.0,45.0,43.0,56.0
47.0,1424629.0,48.0,45.0,49.0,45.0,42.0,42.0,47.0,45.0,44.0,56.0
51.0,1502542.0,50.0,46.0,50.0,45.0,44.0,45.0,48.0,46.0,46.0,54.0
55.0,1529432.0,52.0,48.0,53.0,49.0,51.0,50.0,53.0,49.0,51.0,57.0
56.0,1490597.0,57.0,51.0,59.0,52.0,57.0,56.0,58.0,56.0,58.0,62.0
59.0,1425302.0,62.0,53.0,63.0,57.0,62.0,62.0,63.0,62.0,63.0,65.0
65.0,1349888.0,65.0,58.0,70.0,62.0,68.0,69.0,69.0,66.0,68.0,67.0
68.0,1286297.0,68.0,62.0,72.0,65.0,71.0,71.0,72.0,69.0,71.0,69.0
69.0,1236793.0,69.0,66.0,73.0,67.0,72.0,73.0,73.0,71.0,73.0,70.0
68.0,1224911.0,69.0,68.0,73.0,67.0,72.0,73.0,73.0,72.0,73.0,70.0
