"year","month","day","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","h24"
2004,1,1,16853,16450,16517,16873,17064,17727,18574,19355,19534,18611,17666,16374,15106,14455,13518,13138,14130,16809,18150,18235,17925,16904,16162,14750
2004,1,2,14155,14038,14019,14489,14920,16072,17800,19089,19577,20047,19770,18564,18137,17046,16127,15448,15839,17727,18895,18650,18443,17580,16467,15258
2004,1,3,14439,14272,14109,14081,14775,15491,16536,18197,19109,18012,17200,15950,14978,14162,13507,13414,13826,15825,16996,16394,15406,14278,13315,12424
2004,1,4,11273,10415,9943,9859,9881,10248,11016,12780,15108,15680,15280,14605,14689,14642,14207,13614,14162,16237,17430,17218,16633,15238,13580,11727
2004,1,5,10750,10321,10107,10065,10419,12101,14847,15259,14045,14009,14332,13908,13981,13865,13845,14350,15501,17307,18786,19089,19192,18416,17006,16018
2004,1,6,15742,15682,16132,16761,17909,20234,23948,24789,23024,20613,19070,17447,17556,18506,18762,19162,21509,25314,28060,28768,28919,28653,27406,26507
2004,1,7,26014,26447,27286,27923,29130,31503,34900,35201,32405,29694,27298,25243,23481,22095,20617,21013,23676,27329,29685,29838,29806,28704,27069,25708
2004,1,8,25104,25122,25464,25715,26219,28552,31815,32289,28968,25705,23297,23090,23244,23081,22421,22883,24436,26555,27394,27486,26890,25529,23869,22278
2004,1,9,21175,21056,21241,22062,23026,25610,27220,27570,27422,26881,26574,25648,24980,24682,24955,24932,25497,27668,28784,28113,27311,26327,24967,23824
2004,1,10,23405,23507,24067,24786,25418,26631,28560,30242,32387,31926,29308,27017,24909,23193,22257,22457,23909,27515,29526,30073,30858,30698,30208,30056
2004,1,11,30404,31248,32423,33580,34564,36114,37525,39584,39231,34593,30121,26561,23855,22215,21345,21376,22021,25327,27099,27045,26942,25751,24813,23683
2004,1,12,22937,22999,22895,23236,23658,25624,28145,28175,24992,21752,19509,17400,16290,15236,14436,14126,15495,18489,20561,21313,21503,20629,18797,17698
2004,1,13,17264,17243,17489,17879,18426,20744,24042,24794,22497,19879,17478,15949,14929,14631,13919,13972,14979,18117,20792,21363,21464,20611,19135,18118
2004,1,14,17783,18038,18682,19462,21065,23642,27900,28745,26178,22731,20042,17946,16515,15786,15019,15349,17316,20734,22894,23031,22949,22076,20389,18333
2004,1,15,17139,16644,16204,16466,17334,19731,23357,24458,22518,21217,20346,19135,17928,17161,16517,17013,18883,22288,24964,25613,26114,25584,24053,22958
2004,1,16,22681,22975,23559,24192,25637,27554,31073,31962,29020,26546,23667,22016,21174,19152,18015,17946,19696,22812,24843,25042,25036,24419,23744,23057
2004,1,17,22292,22323,22478,23042,23347,23842,25013,26703,27340,25872,24011,21688,20072,19323,19599,20013,20765,21958,22527,22225,21671,20271,19215,18218
2004,1,18,17446,17085,16853,17016,16781,16975,17872,19875,21795,22607,21962,21227,20089,19468,19158,18821,19007,20435,21937,22022,21956,21109,20770,19869
2004,1,19,19245,19527,20073,20864,22124,24085,26377,27862,27842,26335,24773,23525,22020,20717,19990,20519,21669,25628,28753,30086,30222,29701,28403,26964
