datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2004-01-01,16,28.752,27.851,27.631,27.986,29.16,29.226,31.411,33.447,34.591,33.637,30.929,27.889,25.447,23.43,22.222,22.057,24.467,29.902,32.045,32.124,32.144,30.821,30.389,27.616
2004-01-02,16,25.816,24.764,24.42,24.793,25.577,25.686,27.482,29.671,31.62,32.339,31.698,29.992,28.328,26.581,25.294,24.859,25.455,30.013,32.211,32.099,31.207,30.158,29.49,26.828
2004-01-03,16,24.563,23.569,23.114,23.08,23.39,23.65,25.479,27.383,29.353,29.919,27.093,23.934,21.693,20.091,18.952,18.587,19.7,23.78,25.159,24.334,23.352,22.008,20.887,18.52
2004-01-04,16,16.304,15.121,14.544,14.347,14.493,14.497,15.907,18.199,21.855,23.494,22.397,20.868,20.181,19.524,19.111,18.837,20.12,23.907,25.012,24.092,22.925,20.809,18.987,16.245
2004-01-05,16,14.653,13.833,13.552,13.691,14.438,16.128,20.591,22.041,21.235,21.125,21.452,21.73,21.854,21.903,21.893,22.632,24.908,28.974,30.383,29.702,28.289,27.136,25.748,23.496
2004-01-06,16,22.506,22.849,23.578,24.571,26.549,28.85,34.346,36.334,33.1,30.258,28.26,26.661,24.931,24.086,23.859,25.305,28.852,35.501,38.878,40.427,40.858,39.853,39.557,37.602
2004-01-07,16,36.955,37.727,38.895,40.042,42.429,44.246,49.764,49.912,46.256,45.519,40.842,38.228,36.006,34.632,34.174,35.119,38.272,44.824,47.765,47.466,47.122,45.588,44.891,43.093
2004-01-08,16,42.664,43.487,44.502,45.659,46.495,47.172,52.115,51.882,47.97,45.531,39.995,35.885,33.902,32.445,32.402,33.746,36.21,40.694,42.898,42.711,41.6,39.842,38.245,35.656
2004-01-09,16,34.179,33.704,33.972,34.207,35.645,36.995,41.727,43.836,42.765,42.19,41.832,40.555,39.345,39.057,38.792,39.489,41.269,45.404,47.16,46.942,47.06,46.838,47.774,46.706
2004-01-10,16,46.761,47.643,48.993,50.555,52.443,53.447,57.138,60.937,64.559,64.017,61.586,56.736,52.602,49.262,47.244,47.508,50.185,56.64,59.079,58.026,57.879,59.829,59.284,57.729
2004-01-11,16,56.506,56.095,56.594,57.041,57.945,56.672,58.671,62.176,60.496,55.208,53.245,46.089,42.358,40.484,38.862,38.175,40.779,45.938,48.312,48.133,47.57,45.601,44.04,41.065
2004-01-12,16,39.634,38.93,39.097,39.172,39.869,40.537,45.072,45.836,42.054,37.859,33.726,30.023,26.717,24.934,23.491,23.427,24.825,30.689,34.213,34.506,33.92,32.95,32.063,30.334
2004-01-13,16,30.265,31.27,32.627,34.324,36.375,37.959,42.928,43.884,39.217,35.157,33.232,28.91,25.598,23.771,21.973,22.353,24.421,31.261,35.232,36.51,36.536,35.212,34.611,33.14
2004-01-14,16,32.314,32.704,33.533,34.95,36.892,38.795,44.188,46.14,42.171,38.453,35.362,33.1,31.268,30.445,30.175,31.779,35.625,41.916,44.275,44.031,42.92,40.451,38.616,35.548
2004-01-15,16,33.382,32.409,32.085,32.264,33.523,35.259,40.704,43.793,41.748,40.679,39.277,37.568,35.519,33.713,32.372,32.65,35.298,41.035,43.777,44.226,44.623,44.013,45.073,44.897
