,datetime,zone_id,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
13200,2004-01-01,9.0,75.243,67.368,64.05,63.861,75.852,79.989,80.073,75.852,69.552,69.888,66.549,65.625,65.604,65.877,65.667,65.625,64.932,66.129,65.121,64.911,64.911,65.352,73.605,76.482
13201,2004-01-02,9.0,76.545,80.85,80.85,81.165,80.619,79.842,66.864,68.229,66.801,67.095,66.549,65.73,63.777,61.53,61.614,61.782,62.811,63.714,67.515,76.419,79.653,79.296,78.603,67.431
13202,2004-01-03,9.0,78.519,78.561,78.54,78.099,77.679,77.868,77.952,77.028,67.893,63.357,64.218,64.239,63.84,63.336,62.748,62.496,61.992,61.677,61.656,63.483,64.617,64.953,65.646,65.646
13203,2004-01-04,9.0,65.541,65.625,65.961,66.339,66.129,66.045,66.108,66.402,66.003,65.751,65.625,64.155,66.465,66.57,66.906,70.287,70.266,70.371,70.077,69.972,79.758,81.585,81.417,81.228
13204,2004-01-05,9.0,80.661,81.123,80.829,80.934,80.388,80.661,80.934,81.585,81.312,81.396,81.858,73.227,67.935,67.515,67.473,68.586,67.977,68.271,68.502,68.607,68.502,68.418,67.452,66.717
13205,2004-01-06,9.0,66.255,57.897,52.794,64.176,63.315,63.168,63.567,64.323,64.911,65.436,67.725,67.599,67.704,68.817,69.174,68.964,68.775,73.206,72.87,72.471,72.282,73.248,73.479,73.647
13206,2004-01-07,9.0,73.71,73.227,72.954,73.815,73.29,72.408,49.14,24.885,24.948,49.959,84.693,83.559,82.992,82.971,82.299,81.837,82.32,51.933,24.927,25.2,32.277,77.343,81.102,80.85
13207,2004-01-08,9.0,81.228,76.02,70.98,70.812,78.393,83.307,47.46,25.2,25.158,46.242,83.412,84.84,84.294,83.685,85.365,85.176,84.714,85.029,85.26,83.538,71.232,71.589,71.043,70.98
13208,2004-01-09,9.0,70.539,69.972,70.224,70.203,69.783,69.615,69.552,68.817,66.36,66.234,66.381,66.213,67.074,66.801,67.158,70.623,70.707,71.232,70.98,71.316,70.686,70.812,70.728,70.77
13209,2004-01-10,9.0,70.98,71.211,70.917,68.46,67.893,68.25,68.082,66.885,65.1,64.827,68.985,82.929,83.181,83.517,83.181,82.887,82.551,48.657,24.318,24.15,24.297,47.166,69.993,69.552
13210,2004-01-11,9.0,76.713,82.803,83.013,82.362,82.425,82.467,82.719,47.292,24.213,24.339,60.564,81.627,81.312,81.417,81.606,81.186,80.766,80.766,81.186,81.9,81.522,82.257,82.236,82.32
13211,2004-01-12,9.0,82.089,81.9,81.774,82.047,81.753,81.396,81.501,81.543,82.278,81.417,75.978,69.93,70.182,71.4,71.484,72.03,71.967,72.87,72.429,72.093,71.799,80.115,82.866,83.454
13212,2004-01-13,9.0,83.076,82.698,82.614,82.803,72.555,67.452,67.41,68.292,68.334,63.903,54.516,54.117,55.461,67.389,66.927,69.384,71.085,71.316,71.169,71.295,71.379,77.847,82.572,82.467
13213,2004-01-14,9.0,64.827,81.186,78.813,75.117,54.81,26.733,10.374,7.497,7.434,7.539,7.413,7.308,7.413,7.497,7.854,8.715,10.647,15.582,19.992,24.612,37.842,66.78,75.327,78.792
13214,2004-01-15,9.0,79.17,79.464,79.968,78.834,67.956,68.25,68.628,68.901,68.208,70.497,71.61,79.275,82.677,81.9,82.908,83.034,82.152,81.333,70.035,68.859,67.704,68.313,68.859,68.607
